cam1,496,105,496,106,219,2,,,,,,,,,,,,,
cam1,214,46,218,144,224,238,237,409,243,468,,,,,,,,,
cam1,214,58,219,153,224,243,230,328,237,408,242,467,,,,,,,
cam1,213,16,215,101,219,192,223,277,228,358,233,433,,,,,,,
cam1,213,11,216,91,227,270,232,351,239,428,,,,,,,,,
cam1,213,28,217,122,221,210,226,292,231,367,236,437,238,472,,,,,
cam1,214,41,218,132,223,221,230,307,236,390,243,458,,,,,,,
cam1,212,19,214,106,217,196,226,363,231,437,,,,,,,,,
cam1,215,73,220,166,226,254,231,335,237,411,243,466,,,,,,,
cam1,213,16,217,101,222,190,229,274,235,353,243,427,249,472,,,,,
cam1,214,30,224,210,230,294,237,375,244,447,,,,,,,,,
cam1,213,35,215,126,217,215,220,301,224,382,,,,,,,,,
cam1,213,34,216,127,221,215,227,297,239,441,,,,,,,,,
cam1,213,6,215,76,219,170,224,259,230,342,237,424,243,472,,,,,
cam1,213,38,216,132,221,221,225,304,230,383,,,,,,,,,
cam1,216,96,221,188,228,277,234,361,241,441,,,,,,,,,
cam1,213,16,214,99,218,190,223,277,228,359,234,435,,,,,,,
cam1,218,0,213,63,216,158,221,248,225,333,231,415,,,,,,,
cam1,218,132,223,222,229,307,235,387,241,456,,,,,,,,,
cam1,214,31,218,123,223,211,229,295,235,373,241,444,,,,,,,
cam1,213,8,215,80,219,175,223,261,229,341,234,417,239,468,,,,,
cam1,213,11,215,88,219,178,224,264,229,344,234,421,238,470,,,,,
cam1,212,18,214,108,218,198,222,284,226,364,231,437,,,,,,,
cam1,215,58,219,150,225,238,231,320,243,460,,,,,,,,,
cam1,211,53,212,174,214,285,217,387,220,467,,,,,,,,,
cam1,211,40,213,147,217,248,221,342,225,429,,,,,,,,,
cam1,210,0,210,69,211,171,213,265,216,352,219,433,,,,,,,
cam1,210,42,210,140,212,231,213,316,215,395,218,459,,,,,,,
cam1,212,5,212,76,215,173,219,263,223,348,229,429,,,,,,,
cam1,211,25,212,117,214,208,217,293,220,374,224,445,,,,,,,
cam1,211,6,210,79,212,176,214,264,217,345,220,421,223,467,,,,,
cam1,212,35,214,129,217,219,221,306,225,388,230,456,,,,,,,
cam1,211,29,211,125,214,216,217,303,220,386,225,455,,,,,,,
cam1,210,60,211,156,211,244,213,326,215,401,217,460,171,469,172,455,175,439,176
cam1,211,1,210,65,211,160,212,248,214,333,217,412,220,468,,,,,
cam1,210,26,211,121,213,211,216,296,219,375,224,445,,,,,,,
cam1,211,13,210,97,212,189,215,276,218,358,222,432,,,,,,,
cam1,210,53,211,149,213,238,215,321,218,398,222,461,,,,,,,
cam1,211,1,211,65,214,160,218,248,222,330,228,407,232,465,,,,,
cam1,211,18,211,106,214,198,217,284,220,367,224,440,,,,,,,
cam1,211,9,211,86,213,179,216,266,220,347,223,424,227,471,,,,,
cam1,211,1,209,66,208,163,208,256,208,346,209,432,,,,,,,
cam1,211,11,211,94,210,187,212,273,214,354,217,428,218,473,,,,,
cam1,210,47,211,141,212,232,214,319,217,400,220,464,,,,,,,
cam1,211,43,212,138,214,229,217,315,221,397,225,462,,,,,,,
cam1,211,26,212,118,216,209,220,293,224,371,230,441,,,,,,,
cam1,211,9,211,88,214,181,217,270,221,354,225,432,,,,,,,
cam1,212,3,211,70,214,165,217,254,221,338,226,418,230,470,,,,,
cam1,212,24,213,115,216,204,219,290,223,371,228,444,,,,,,,
