cam1,493,4,195,30,171,147,151,253,134,352,121,440
cam1,202,4,180,105,159,214,141,315,126,407,118,473
cam1,191,48,167,160,147,264,129,360,117,444,,
cam1,195,29,171,143,151,250,134,348,120,437,,
cam1,182,81,158,192,139,291,122,381,111,455,,
cam1,184,67,158,179,135,285,115,383,101,465,,
cam1,196,19,168,134,145,243,124,343,107,433,,
cam1,197,20,171,136,150,244,131,343,117,431,,
cam1,199,14,173,127,152,237,133,339,118,431,,
cam1,201,4,175,106,151,217,131,320,114,412,,
cam1,199,14,174,126,153,235,135,335,121,427,,
cam1,201,3,173,99,146,210,121,318,100,418,,
cam1,194,31,169,145,148,250,130,347,117,433,,
cam1,185,75,164,186,146,288,131,381,121,461,,
cam1,195,32,171,146,151,254,133,355,120,444,,
cam1,198,14,172,126,150,235,131,336,116,428,,
cam1,195,25,169,138,148,244,129,341,114,429,,
cam1,199,11,174,119,151,229,131,331,116,424,,
cam1,184,79,164,191,146,295,132,391,123,468,,
cam1,183,90,164,197,148,296,134,387,125,464,,
cam1,187,58,162,169,142,271,125,364,112,445,,
cam1,200,7,175,110,153,218,134,318,118,408,109,473
cam1,200,8,174,114,152,222,132,321,117,410,108,473
cam1,199,8,171,112,144,222,121,326,101,423,,
cam1,195,32,171,145,150,251,132,347,118,433,,
cam1,186,69,164,181,145,284,130,380,118,462,,
cam1,196,26,170,141,147,247,128,343,113,429,,
cam1,182,77,157,186,136,288,118,382,106,459,,
cam1,194,15,159,120,127,226,98,326,74,419,,
cam1,196,22,172,129,152,234,135,331,121,421,,
cam1,201,2,181,88,160,196,141,295,126,385,116,457
cam1,181,87,160,195,142,295,127,387,117,464,,
cam1,195,34,172,147,154,252,139,348,127,435,,
cam1,199,12,175,118,154,224,135,323,120,412,,
cam1,493,4,185,75,163,184,142,285,125,378,112,459
cam1,196,24,172,133,152,237,135,331,122,416,,
cam1,201,8,179,111,158,216,141,312,128,398,119,467
cam1,194,32,170,144,149,247,132,342,119,427,,
cam1,188,55,165,164,145,265,128,357,115,437,,
cam1,196,22,171,133,150,236,132,330,118,414,,
cam1,198,15,175,124,155,229,138,324,124,408,116,471
cam1,192,42,170,153,152,254,137,346,125,428,,
cam1,198,13,172,119,150,223,131,320,115,408,104,472
cam1,181,84,159,192,140,291,124,380,113,456,,
cam1,202,2,178,96,156,203,135,304,118,397,107,470
cam1,181,81,158,189,139,288,122,378,111,455,,
cam1,202,4,179,101,158,206,140,303,125,390,115,463
cam1,191,38,167,148,147,249,130,342,116,426,,
cam1,186,60,162,168,141,268,124,360,111,440,,
cam1,177,95,152,210,130,316,111,413,,,,
cam1,199,12,175,123,156,232,139,332,125,422,,
cam1,200,10,176,117,157,223,140,320,127,407,118,471
cam1,198,19,176,131,158,233,143,327,132,410,125,471
cam1,196,21,170,131,147,235,128,333,112,422,,
cam1,198,18,174,126,156,228,140,321,128,404,121,469
cam1,195,21,169,131,145,233,125,327,109,412,98,473
cam1,186,71,166,176,148,274,133,366,123,445,,
cam1,191,43,168,152,148,253,131,346,117,430,,
